RESID,SS,PreySS,PredSS,PPratio,ExoticSS,Richness,Evenness,NatStock,Nnatstock,IntrodUndes,Fishkills,FishPres,CatchRate,FishSize,CatchVar,AnglerSatis,FreqTourn,RatioFishing,SPP1comp,LargeFish,StockedFish,PopDen,SizeStruc,Condition,GRate,NatMort,R_age1,R_adult,CRA,BAS,PIK,PER,CAT,SUN,MOR,TRT,SAL
MO52,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,1,1,3,2,3,3,3,3,3,0,1,0,0,0,0,0,0,0
MO7,3,3,2,2,3,3,3,3,1,1,3,3,4,2,3,3,3,3,3,1,1,5,2,2,2,4,5,4,1,0,0,0,0,0,0,0,0
MT14,3,3,2,2,2,2,2,4,1,2,2,4,4,3,4,4,1,4,4,4,4,4,3,3,3,2,3,3,0,0,0,0,0,0,0,1,0
MT20,3,3,2,3,3,5,3,1,2,1,4,1,3,3,3,3.7,1,3,2,3,1,3,3,3,3,3,3,3,0,0,1,0,0,0,0,0,0
MT94,3,3,2,2,1,2,3,1,4,1,1,3,2,3,5,2,3,4,4,4,4,2,3,4,4,3,2,3,0,0,0,0,0,0,0,1,0
OK59,3,3,2,3,2,3,2,1,1,2,1,2,3,3,3,3,1,3,2,3,1,4,4,4,3,3,3,3,0,0,0,1,0,0,0,0,0
TX136,3,3,2,3,1,2,3,2,2,1,1,2,3,3,3,3,1,4,3,1,1,4,2,4,2,2,4,4,1,0,0,0,0,0,0,0,0
WY57,3,3,2,2,1,3,3,1,5,1,1,3,3,3,3,3,1,5,4,3,4,4,3,3,2,3,3,3,0,0,0,0,0,0,0,1,0
IA2,4,3,2,2,4,2,2,2,3,5,3,5,3,2,4,3,3,4,2,2,1,4,2,2,3,3,2,3,0,0,0,0,0,1,0,0,0
SD16,4,3,2,4,2,5,3,2,2,1,3,4,4,4,3,4,2,3,1,3,1,2,4,3,3,3,3,3,1,0,0,0,0,0,0,0,0
KS8,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,2,2,1,3,2,2,0,0,0,0,1,0,0,0,0
PA20,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,4,3,2,3,2,3,0,1,0,0,0,0,0,0,0
PA90,1,2,2,2,1,2,2,3,1,1,1,4,2,2,3,3,2,4,2,2,1,4,4,3,2,3,3,3,0,1,0,0,0,0,0,0,0
WY52,1,2,2,3,2,2,2,1,3,3,1,2,2,3,3,2,1,3,4,4,4,2,3,3,4,4,3,3,0,0,0,0,0,0,0,1,0
AL14,2,2,2,3,1,3,3,3,1,1,1,3,2,2,3,2,3,3,1,1,1,2,3,3,3,3,2,2,0,1,0,0,0,0,0,0,0
AL20,2,2,2,3,1,3,3,3,1,1,1,3,3,3,3,3,3,3,1,1,1,2,2,3,3,3,3,3,0,1,0,0,0,0,0,0,0
AL48,2,2,2,3,1,2,2,1,2,1,1,4,3,2,3,2,3,4,3,2,1,2,3,2,2,3,2,3,0,1,0,0,0,0,0,0,0
AR52,2,2,2,3,1,3,3,2,1,1,1,2,2,3,2,2,3,5,2,1,1,3,2,3,3,3,3,3,0,1,0,0,0,0,0,0,0
AR54,2,2,2,2,1,2,3,4,2,1,1,3,2,2,3,3,2,5,1,2,1,2,2,3,3,4,3,2,0,1,0,0,0,0,0,0,0
AR60,2,2,2,2,1,3,3,3,1,1,1,2,3,3,3,2,2,5,1,1,1,2,3,3,3,4,3,2,1,0,0,0,0,0,0,0,0
CA245,2,2,2,2,3,3,2,1,1,3,4,1,1,4,3,1,1,1,3,3,1,3,4,4,3,4,2,2,0,1,0,0,0,0,0,0,0
